Date,Open,High,Low,Close,Adj Close,Volume
2015-09-02,291.632996,291.967010,281.867004,283.032990,202.986099,5448609
2015-09-03,284.666992,286.983002,277.433014,279.316986,200.320999,3993141
2015-09-04,280.000000,284.933014,273.333008,283.532990,203.344681,4089033
2015-09-07,281.782990,286.367004,274.532990,276.733002,198.467850,2938974
2015-09-08,278.350006,279.666992,270.532990,273.750000,196.328491,3328608
2015-09-09,278.000000,281.666992,272.566986,273.416992,196.089661,4953636
2015-09-10,273.333008,281.000000,272.666992,279.899994,200.739136,7680681
2015-09-11,281.666992,285.933014,280.983002,283.516998,203.333191,3366924
2015-09-14,286.583008,295.316986,285.782990,293.467010,210.469177,4598022
2015-09-15,294.933014,297.467010,290.333008,293.200012,210.277679,3088068
2015-09-16,293.833008,295.833008,284.350006,287.450012,206.153885,4215234
2015-09-18,291.666992,295.833008,287.882996,289.850006,207.875107,3576198
2015-09-21,289.367004,293.799988,288.100006,290.416992,208.281738,2535291
2015-09-22,292.333008,293.632996,284.700012,287.132996,205.926529,2966694
2015-09-23,287.000000,294.850006,285.516998,292.250000,209.596375,1978251
2015-09-24,295.166992,297.433014,292.516998,293.632996,210.588181,2928180
2015-09-28,293.632996,299.649994,292.066986,294.500000,211.210037,2617404
2015-09-29,293.333008,293.333008,281.066986,282.600006,202.675568,4599816
2015-09-30,283.367004,286.666992,281.882996,283.566986,203.369080,4610595
2015-10-01,285.750000,288.149994,281.666992,285.032990,204.420425,3958536
2015-10-05,286.666992,289.217010,283.367004,286.899994,205.759430,3275091
2015-10-06,287.967010,294.666992,286.467010,291.882996,209.333145,4011009
2015-10-07,291.666992,293.700012,285.000000,287.850006,206.440781,4674846
2015-10-08,288.666992,288.916992,282.282990,284.983002,204.384613,3087666
2015-10-09,286.333008,287.666992,279.083008,282.833008,202.842636,3082536
2015-10-12,283.333008,284.333008,279.717010,283.016998,202.974609,2177883
2015-10-13,285.766998,289.950012,285.367004,287.833008,206.428574,4015596
2015-10-14,289.632996,290.333008,286.750000,287.433014,206.141708,2256369
2015-10-15,289.666992,299.367004,288.750000,297.700012,213.504974,4682985
2015-10-16,300.632996,304.899994,299.467010,303.750000,217.843918,5203080
2015-10-19,302.000000,307.766998,302.000000,306.166992,219.577347,3070035
2015-10-20,305.333008,308.532990,303.333008,304.149994,218.130798,2684148
2015-10-21,304.000000,304.750000,299.000000,300.200012,215.297958,2138928
2015-10-23,301.733002,305.933014,301.733002,303.399994,217.592880,2199690
2015-10-26,303.367004,306.117004,300.666992,301.250000,216.050964,2632314
2015-10-27,300.000000,305.666992,298.666992,304.882996,218.656479,5710122
2015-10-28,306.333008,307.132996,300.467010,303.132996,217.401443,3206736
2015-10-29,302.333008,303.000000,291.717010,293.032990,210.157883,6220047
2015-10-30,293.299988,296.500000,288.516998,290.367004,208.245926,5049825
2015-11-02,291.000000,292.983002,287.183014,290.600006,208.412964,3026868
2015-11-03,292.333008,294.666992,288.816986,292.233002,209.584152,2188410
2015-11-04,292.833008,297.049988,291.782990,295.333008,211.807419,1911390
2015-11-05,295.666992,298.282990,293.733002,296.333008,212.524597,2461347
2015-11-06,297.233002,299.833008,295.983002,298.700012,214.222168,2104041
2015-11-09,295.933014,303.600006,292.833008,300.967010,215.848022,6353322
2015-11-10,300.032990,303.750000,290.666992,292.282990,209.620026,3552561
2015-11-13,299.666992,302.516998,296.367004,302.016998,216.601044,3450663
2015-11-16,302.666992,304.132996,298.833008,299.549988,214.831757,3672036
2015-11-17,299.666992,301.250000,290.683014,292.083008,209.476593,3501243
2015-11-18,292.000000,296.066986,291.000000,294.666992,211.329803,1596237
2015-11-19,296.666992,303.333008,295.166992,302.467010,216.923798,3303222
2015-11-20,301.632996,308.016998,300.100006,305.367004,219.003632,2551281
2015-11-23,305.032990,307.299988,301.367004,301.899994,216.517136,2762760
2015-11-24,301.766998,305.100006,298.666992,302.467010,216.923798,2588514
2015-11-26,302.566986,305.083008,300.350006,301.649994,216.337845,2447538
2015-11-27,302.899994,303.299988,296.850006,300.450012,215.477264,1600710
2015-11-30,300.750000,305.933014,299.266998,300.583008,215.572617,4441029
2015-12-01,300.733002,311.299988,300.733002,310.899994,222.971771,4619046
2015-12-02,311.666992,315.632996,308.833008,310.717010,222.840561,4163145
2015-12-03,311.666992,312.000000,305.700012,306.649994,219.923782,2507946
2015-12-04,304.666992,306.467010,301.333008,302.166992,216.708633,1813179
2015-12-07,305.666992,307.666992,302.649994,303.583008,217.724167,2782803
2015-12-08,306.000000,308.600006,303.016998,304.000000,218.023239,4308081
2015-12-09,304.000000,305.200012,292.333008,294.083008,210.910965,3332553
2015-12-10,293.632996,302.500000,289.083008,301.382996,216.146378,2797245
2015-12-11,301.717010,303.816986,295.333008,297.632996,213.456909,2560209
2015-12-14,298.316986,300.666992,294.450012,296.683014,212.775620,1942245
2015-12-15,297.333008,298.649994,293.867004,296.549988,212.680222,1126095
2015-12-16,300.000000,305.666992,299.983002,301.183014,216.002914,2435139
2015-12-17,304.282990,305.367004,299.850006,301.316986,216.099030,2593668
2015-12-18,301.666992,305.000000,299.333008,300.250000,215.333801,2209239
2015-12-21,301.799988,303.299988,297.367004,299.166992,214.557083,1704975
2015-12-22,300.083008,302.666992,299.350006,300.899994,215.799927,1662153
