Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,553.000000,553.000000,541.150024,545.299988,491.161774,3296386
2015-06-25,544.000000,545.450012,528.000000,529.799988,477.200653,5294305
2015-06-26,528.849976,535.799988,520.049988,521.799988,469.994904,3503690
2015-06-29,515.000000,517.599976,467.100006,483.350006,435.362274,11484481
2015-06-30,475.000000,491.700012,472.000000,477.799988,430.363281,12372399
2015-07-01,476.649994,488.350006,475.799988,486.149994,437.884277,4380793
2015-07-02,489.000000,489.899994,477.350006,479.299988,431.714355,2751848
2015-07-03,480.000000,482.000000,469.000000,471.600006,424.778839,2800735
2015-07-06,465.000000,469.649994,458.500000,464.549988,418.428741,2655385
2015-07-07,465.000000,476.700012,464.549988,471.399994,424.598694,2972045
2015-07-08,469.799988,472.750000,460.299988,470.299988,423.607880,3449261
2015-07-09,474.000000,478.899994,471.100006,474.299988,427.210724,2410385
2015-07-10,478.000000,478.000000,469.000000,474.000000,426.940552,1847909
2015-07-13,474.049988,477.000000,469.600006,475.799988,428.561859,2244361
2015-07-14,478.950012,481.000000,475.000000,476.899994,429.552643,2094711
2015-07-15,478.000000,485.000000,477.549988,479.950012,432.299835,1691337
2015-07-16,483.399994,495.750000,480.200012,491.799988,442.973358,2547683
2015-07-17,493.950012,505.799988,493.000000,502.149994,452.295776,5006283
2015-07-20,502.500000,504.200012,491.350006,500.799988,451.079803,3004605
2015-07-21,502.899994,520.500000,499.750000,509.399994,458.825989,3506058
2015-07-22,510.500000,513.450012,497.700012,510.149994,459.501495,2086049
2015-07-23,506.899994,512.299988,499.000000,500.049988,455.764648,2670981
2015-07-24,498.500000,514.950012,495.000000,511.049988,465.790436,2285622
2015-07-27,511.000000,525.000000,508.100006,519.549988,473.537689,4208795
2015-07-28,522.000000,529.700012,517.700012,523.549988,477.183411,6316959
2015-07-29,523.950012,529.000000,522.599976,525.549988,479.006287,2061983
2015-07-30,529.000000,532.799988,519.400024,524.349976,477.912537,6558111
2015-07-31,527.900024,532.000000,525.450012,530.700012,483.700226,1229591
2015-08-03,529.000000,533.500000,521.500000,523.599976,477.228973,811778
2015-08-04,525.000000,549.000000,524.150024,542.049988,494.045044,2145670
2015-08-05,543.900024,558.799988,542.000000,550.599976,501.837830,2640419
2015-08-06,556.000000,557.049988,531.099976,533.900024,486.616852,1547635
2015-08-07,534.799988,545.400024,531.450012,535.150024,487.756073,1367440
2015-08-10,536.450012,542.150024,526.849976,530.950012,483.928101,600681
2015-08-11,532.299988,545.000000,531.000000,540.650024,492.769104,1434009
2015-08-12,545.000000,559.250000,536.150024,557.549988,508.172302,3674098
2015-08-13,557.000000,567.500000,543.500000,551.299988,502.475861,2714434
2015-08-14,546.000000,562.200012,538.000000,555.049988,505.893707,2257748
2015-08-17,559.900024,564.700012,549.000000,551.900024,503.022736,2144457
2015-08-18,552.000000,564.000000,552.000000,562.450012,512.638428,2130201
2015-08-19,565.299988,565.299988,557.049988,560.299988,510.678741,1599058
2015-08-20,575.000000,575.750000,555.099976,558.900024,509.402771,2873282
2015-08-21,554.599976,569.150024,545.049988,563.049988,513.185242,1329500
2015-08-24,549.000000,557.849976,519.549988,523.650024,477.274536,3422600
2015-08-25,530.000000,543.500000,492.700012,528.000000,481.239349,3057676
2015-08-26,530.000000,532.950012,505.000000,507.299988,462.372559,2169411
2015-08-27,513.500000,528.000000,513.500000,519.549988,473.537689,2967588
2015-08-28,526.000000,529.450012,512.000000,516.299988,470.575500,1642669
2015-08-31,516.400024,525.000000,512.000000,515.000000,469.390625,2104443
2015-09-01,510.000000,523.500000,506.100006,512.299988,466.929749,1340532
2015-09-02,519.000000,539.900024,514.200012,536.000000,488.530823,2308033
2015-09-03,542.000000,552.700012,528.049988,540.400024,492.541199,2220020
2015-09-04,540.000000,547.549988,526.099976,529.299988,482.424255,1438221
2015-09-07,529.000000,541.150024,520.000000,538.000000,490.353668,1222028
2015-09-08,538.000000,543.849976,531.000000,537.200012,489.624603,1074692
2015-09-09,547.700012,547.700012,530.799988,533.400024,486.161102,1271196
2015-09-10,532.000000,537.500000,525.599976,533.799988,486.525604,929833
2015-09-11,533.000000,539.549988,522.000000,525.049988,478.550568,873940
2015-09-14,526.000000,529.500000,516.049988,525.799988,479.234161,1784462
2015-09-15,528.900024,543.400024,527.549988,540.900024,492.996887,1366805
2015-09-16,543.750000,547.700012,540.700012,544.150024,495.959015,722804
2015-09-18,545.250000,564.349976,545.250000,561.500000,511.772491,1907266
2015-09-21,553.000000,578.900024,549.000000,567.500000,517.241089,995389
2015-09-22,573.799988,577.500000,553.349976,557.799988,508.400208,1172885
2015-09-23,551.000000,561.000000,540.549988,556.099976,506.850739,943910
2015-09-24,560.000000,570.000000,549.950012,567.349976,517.104309,1226153
2015-09-28,573.349976,582.000000,570.200012,573.400024,522.618652,1603999
2015-09-29,572.450012,576.099976,562.599976,570.400024,519.884399,1765081
2015-09-30,575.700012,575.700012,553.200012,557.349976,507.990051,2795413
2015-10-01,558.700012,566.500000,537.049988,563.000000,513.139648,2014882
2015-10-05,564.500000,575.000000,561.099976,569.900024,519.428589,2111594
2015-10-06,575.000000,578.849976,558.000000,564.750000,514.734619,1834106
2015-10-07,566.150024,569.650024,560.599976,566.299988,516.147339,1150506
2015-10-08,570.000000,572.799988,560.400024,563.000000,513.139648,1534024
2015-10-09,561.799988,568.000000,556.200012,561.200012,511.499115,1124964
2015-10-12,562.599976,570.000000,558.000000,562.750000,512.911865,758836
