Date,Open,High,Low,Close,Adj Close,Volume
2015-06-24,2517.500000,2547.000000,2510.100098,2521.000000,2153.040527,320799
2015-06-25,2530.000000,2575.000000,2527.000000,2552.100098,2179.601563,400609
2015-06-26,2550.000000,2566.600098,2521.000000,2539.199951,2168.584229,200634
2015-06-29,2508.000000,2556.000000,2500.000000,2535.750000,2165.637451,355916
2015-06-30,2542.000000,2554.000000,2502.000000,2523.500000,2155.175781,325449
2015-07-01,2525.100098,2534.949951,2500.399902,2520.600098,2152.698730,401143
2015-07-02,2521.500000,2568.000000,2521.000000,2528.300049,2159.275146,423277
2015-07-03,2540.000000,2584.949951,2530.000000,2576.649902,2200.568115,271136
2015-07-06,2566.000000,2624.949951,2555.750000,2613.399902,2231.954102,307013
2015-07-07,2625.000000,2639.000000,2560.000000,2563.750000,2189.550781,425371
2015-07-08,2549.550049,2582.899902,2516.550049,2549.899902,2177.722656,510583
2015-07-09,2540.100098,2609.949951,2540.100098,2604.750000,2224.566650,418181
2015-07-10,2609.000000,2618.750000,2566.000000,2571.550049,2196.212402,401799
2015-07-13,2580.000000,2609.000000,2550.100098,2600.199951,2220.680908,229719
2015-07-14,2610.000000,2649.899902,2592.000000,2638.699951,2253.561279,324900
2015-07-15,2648.949951,2670.899902,2648.000000,2658.250000,2270.258057,145475
2015-07-16,2658.000000,2666.000000,2626.000000,2649.300049,2262.614258,201208
2015-07-17,2652.949951,2678.000000,2641.300049,2649.399902,2262.699463,180187
2015-07-20,2666.800049,2675.000000,2654.000000,2661.899902,2273.375244,165950
2015-07-21,2661.899902,2695.000000,2658.550049,2687.250000,2295.025391,156870
2015-07-22,2686.000000,2719.899902,2670.350098,2711.000000,2315.308594,196253
2015-07-23,2710.000000,2730.000000,2674.000000,2717.600098,2320.945557,296483
2015-07-24,2700.000000,2748.800049,2700.000000,2740.399902,2340.417480,336553
2015-07-27,2749.449951,2749.449951,2595.000000,2605.050049,2224.822998,453942
2015-07-28,2612.199951,2631.449951,2501.100098,2531.500000,2162.008057,614008
2015-07-29,2538.699951,2581.000000,2506.300049,2569.850098,2194.760742,412275
2015-07-30,2570.000000,2627.350098,2565.000000,2580.350098,2203.728027,1025263
2015-07-31,2599.949951,2698.500000,2585.449951,2682.699951,2291.139160,471113
2015-08-03,2656.000000,2718.000000,2602.350098,2697.100098,2303.437744,861266
2015-08-04,2790.000000,2793.800049,2613.649902,2623.850098,2240.878906,1657551
2015-08-05,2637.000000,2674.899902,2628.449951,2666.000000,2276.877197,404556
2015-08-06,2682.000000,2682.000000,2639.000000,2651.100098,2264.151855,247050
2015-08-07,2633.050049,2669.500000,2633.050049,2661.850098,2273.332520,175465
2015-08-10,2664.600098,2729.899902,2662.550049,2703.949951,2309.288086,431904
2015-08-11,2709.100098,2718.649902,2668.800049,2688.399902,2296.007080,682348
2015-08-12,2665.000000,2697.000000,2622.050049,2634.800049,2250.230713,347945
2015-08-13,2637.500000,2684.000000,2619.199951,2646.500000,2260.223389,346709
2015-08-14,2663.000000,2722.199951,2641.199951,2712.449951,2316.546875,316094
2015-08-17,2718.000000,2720.149902,2641.000000,2650.250000,2263.425293,191264
2015-08-18,2651.199951,2676.699951,2635.100098,2641.000000,2255.525635,142927
2015-08-19,2630.550049,2708.949951,2616.300049,2684.699951,2292.847168,200364
2015-08-20,2650.000000,2664.350098,2621.300049,2629.100098,2245.362793,239882
2015-08-21,2615.000000,2657.949951,2535.000000,2555.050049,2182.121094,536661
2015-08-24,2512.000000,2518.949951,2400.000000,2472.550049,2111.662598,589441
2015-08-25,2475.149902,2518.699951,2404.800049,2464.500000,2104.787109,588828
2015-08-26,2447.000000,2450.000000,2367.050049,2392.699951,2043.466797,1271762
2015-08-27,2418.000000,2418.000000,2364.250000,2377.800049,2030.741943,937972
2015-08-28,2399.500000,2428.949951,2377.800049,2398.600098,2048.505615,318325
2015-08-31,2380.000000,2415.000000,2380.000000,2397.199951,2047.310547,358188
2015-09-01,2370.000000,2395.399902,2353.050049,2383.850098,2035.909058,367859
2015-09-02,2365.000000,2389.800049,2300.449951,2338.699951,1997.348511,493940
2015-09-03,2356.000000,2362.500000,2315.100098,2322.350098,1983.385498,260650
2015-09-04,2323.600098,2329.949951,2265.550049,2290.850098,1956.482666,424019
2015-09-07,2300.000000,2311.100098,2257.199951,2280.600098,1947.728882,257462
2015-09-08,2292.000000,2327.649902,2282.300049,2313.199951,1975.570557,174954
2015-09-09,2341.000000,2369.800049,2333.100098,2344.300049,2002.131348,208014
2015-09-10,2327.000000,2364.649902,2300.000000,2348.600098,2005.803955,222191
2015-09-11,2350.100098,2367.850098,2332.100098,2343.050049,2001.064453,193787
2015-09-14,2339.949951,2359.699951,2320.000000,2349.500000,2006.572266,116680
2015-09-15,2339.699951,2341.649902,2305.050049,2310.550049,1973.307373,330037
2015-09-16,2326.199951,2383.899902,2318.000000,2368.350098,2022.671265,399414
2015-09-18,2378.800049,2446.500000,2375.149902,2428.500000,2074.041992,753722
2015-09-21,2388.300049,2447.800049,2388.300049,2423.699951,2069.942627,239281
2015-09-22,2426.250000,2449.850098,2375.300049,2388.949951,2040.264160,380613
2015-09-23,2379.550049,2406.600098,2379.550049,2400.949951,2050.512939,362950
2015-09-24,2400.000000,2419.949951,2372.600098,2381.699951,2034.072510,391877
2015-09-28,2383.199951,2389.899902,2335.800049,2349.500000,2006.572266,325138
2015-09-29,2311.000000,2370.500000,2301.600098,2329.250000,1989.277832,460978
2015-09-30,2359.000000,2408.300049,2310.500000,2394.500000,2045.004395,431516
2015-10-01,2400.000000,2472.699951,2400.000000,2412.050049,2059.992920,541532
2015-10-05,2449.899902,2517.899902,2435.000000,2502.000000,2136.813965,383373
2015-10-06,2520.000000,2553.000000,2511.000000,2532.350098,2162.734131,295211
2015-10-07,2535.000000,2555.500000,2495.050049,2540.750000,2169.907959,202418
2015-10-08,2541.000000,2561.750000,2523.300049,2541.600098,2170.634033,146872
2015-10-09,2565.000000,2582.000000,2553.000000,2564.850098,2190.490479,147737
2015-10-12,2567.000000,2596.500000,2544.000000,2552.949951,2180.326904,98041
2015-10-13,2555.000000,2563.600098,2525.000000,2538.750000,2168.199707,178225
2015-10-14,2539.750000,2549.000000,2492.800049,2500.000000,2135.105469,184215
2015-10-15,2513.949951,2579.800049,2500.000000,2564.050049,2189.807373,172463
2015-10-16,2570.399902,2590.000000,2558.800049,2584.000000,2206.844971,137066
2015-10-19,2587.000000,2620.199951,2555.750000,2612.050049,2230.801270,183298
2015-10-20,2617.000000,2627.850098,2586.550049,2606.199951,2225.804932,369501
2015-10-21,2658.899902,2667.600098,2590.000000,2622.800049,2239.982666,643276
2015-10-23,2635.250000,2643.000000,2588.100098,2596.050049,2217.136475,205893
2015-10-26,2602.899902,2633.000000,2597.600098,2620.550049,2238.060547,197884
2015-10-27,2614.949951,2644.000000,2586.699951,2620.100098,2237.676270,357084
2015-10-28,2630.000000,2632.800049,2595.250000,2626.050049,2242.757813,199328
2015-10-29,2616.100098,2637.300049,2603.199951,2626.649902,2243.270508,265627
2015-10-30,2620.000000,2629.600098,2563.699951,2581.399902,2204.624756,341083
2015-11-02,2575.199951,2584.399902,2532.699951,2545.850098,2174.263672,367201
2015-11-03,2556.949951,2597.000000,2536.199951,2582.750000,2205.777832,226406
2015-11-04,2600.000000,2634.199951,2592.000000,2621.050049,2238.487305,223537
2015-11-05,2617.850098,2658.600098,2606.100098,2638.699951,2253.561279,229100
2015-11-06,2642.000000,2674.899902,2600.100098,2639.850098,2254.543457,359043
2015-11-09,2605.050049,2649.899902,2596.100098,2614.100098,2232.552002,138190
2015-11-10,2608.000000,2671.000000,2605.100098,2663.699951,2274.912598,218330
2015-11-13,2645.000000,2650.000000,2611.000000,2615.399902,2233.662109,155474
2015-11-16,2615.000000,2645.000000,2580.000000,2611.699951,2230.502197,153495
2015-11-17,2603.050049,2618.399902,2575.000000,2597.949951,2218.759033,196186
2015-11-18,2590.000000,2604.500000,2567.149902,2574.850098,2199.031006,165550
2015-11-19,2618.750000,2683.800049,2581.449951,2589.699951,2211.713623,736910
2015-11-20,2600.000000,2639.000000,2556.300049,2562.850098,2188.782227,747678
2015-11-23,2572.000000,2667.000000,2572.000000,2636.649902,2251.810547,724326
2015-11-24,2641.000000,2666.800049,2629.000000,2645.350098,2259.240723,397339
2015-11-26,2610.000000,2710.000000,2610.000000,2688.699951,2296.263672,1400143
2015-11-27,2688.000000,2714.399902,2658.949951,2704.449951,2309.714600,300797
2015-11-30,2712.449951,2734.300049,2684.149902,2699.149902,2305.187988,604367
2015-12-01,2716.000000,2717.550049,2670.199951,2678.399902,2287.466309,439761
2015-12-02,2664.899902,2701.800049,2654.500000,2676.449951,2285.801758,552538
2015-12-03,2680.550049,2684.000000,2611.199951,2617.800049,2235.712158,395343
2015-12-04,2613.000000,2634.350098,2603.149902,2617.800049,2235.712158,223767
2015-12-07,2634.699951,2663.100098,2609.399902,2623.050049,2240.195557,667088
2015-12-08,2615.000000,2640.000000,2585.649902,2601.899902,2222.132568,231485
2015-12-09,2599.949951,2604.850098,2536.000000,2546.399902,2174.733643,247209
2015-12-10,2566.600098,2574.000000,2538.149902,2548.350098,2176.398682,295521
2015-12-11,2550.000000,2563.800049,2516.649902,2525.149902,2156.584961,303901
2015-12-14,2519.800049,2555.000000,2500.449951,2535.750000,2165.637451,178832
2015-12-15,2540.000000,2579.000000,2508.000000,2567.800049,2193.010254,203987
2015-12-16,2570.100098,2615.350098,2570.100098,2595.399902,2216.581787,241774
2015-12-17,2600.000000,2667.000000,2600.000000,2654.949951,2267.439941,254167
2015-12-18,2650.000000,2664.899902,2625.750000,2643.149902,2257.361572,237868
2015-12-21,2665.000000,2705.000000,2637.899902,2697.949951,2304.163818,351826
2015-12-22,2697.949951,2701.000000,2662.800049,2670.350098,2280.592041,299012
2015-12-23,2675.399902,2694.600098,2664.899902,2678.199951,2287.296387,173603
2015-12-24,2678.350098,2702.699951,2678.350098,2696.399902,2302.839600,187156
2015-12-28,2707.000000,2713.500000,2683.500000,2709.399902,2313.942139,327048
2015-12-29,2707.000000,2738.000000,2700.550049,2731.899902,2333.157715,283306
2015-12-30,2732.000000,2732.949951,2709.350098,2712.949951,2316.973877,196033
